antlr/antlr,antlr/antlr/2.7.7
io.dropwizard.metrics/metrics-json,io.dropwizard.metrics/metrics-json/3.1.5
io.dropwizard.metrics/metrics-jvm,io.dropwizard.metrics/metrics-jvm/3.1.5
io.dropwizard.metrics/metrics-log4j,io.dropwizard.metrics/metrics-log4j/3.1.5
io.dropwizard.metrics/metrics-log4j2,io.dropwizard.metrics/metrics-log4j2/3.1.5
io.dropwizard.metrics/metrics-logback,io.dropwizard.metrics/metrics-logback/3.1.5
io.dropwizard.metrics/metrics-servlet,io.dropwizard.metrics/metrics-servlet/3.1.5
io.dropwizard.metrics/metrics-servlets,io.dropwizard.metrics/metrics-servlets/3.1.5
io.projectreactor/reactor-bus,io.projectreactor/reactor-bus/2.0.8.RELEASE
io.projectreactor/reactor-core,io.projectreactor/reactor-core/2.0.8.RELEASE
io.projectreactor/reactor-groovy,io.projectreactor/reactor-groovy/2.0.8.RELEASE
io.projectreactor/reactor-groovy-extensions,io.projectreactor/reactor-groovy-extensions/2.0.8.RELEASE
io.projectreactor/reactor-logback,io.projectreactor/reactor-logback/2.0.8.RELEASE
io.projectreactor/reactor-net,io.projectreactor/reactor-net/2.0.8.RELEASE
io.projectreactor/reactor-stream,io.projectreactor/reactor-stream/2.0.8.RELEASE
io.projectreactor.spring/reactor-spring-context,io.projectreactor.spring/reactor-spring-context/2.0.7.RELEASE
io.projectreactor.spring/reactor-spring-core,io.projectreactor.spring/reactor-spring-core/2.0.7.RELEASE
io.projectreactor.spring/reactor-spring-messaging,io.projectreactor.spring/reactor-spring-messaging/2.0.7.RELEASE
io.projectreactor.spring/reactor-spring-webmvc,io.projectreactor.spring/reactor-spring-webmvc/2.0.7.RELEASE
io.searchbox/jest,io.searchbox/jest/2.0.4
io.undertow/undertow-core,io.undertow/undertow-core/1.4.23.Final
io.undertow/undertow-servlet,io.undertow/undertow-servlet/1.4.23.Final
io.undertow/undertow-websockets-jsr,io.undertow/undertow-websockets-jsr/1.4.23.Final
javax.cache/cache-api,javax.cache/cache-api/1.0.0
javax.jms/jms-api,javax.jms/jms-api/1.1-rev-1
javax.mail/javax.mail-api,javax.mail/javax.mail-api/1.5.6
javax.servlet/javax.servlet-api,javax.servlet/javax.servlet-api/3.1.0
javax.servlet/jstl,javax.servlet/jstl/1.2
javax.transaction/javax.transaction-api,javax.transaction/javax.transaction-api/1.2
javax.validation/validation-api,javax.validation/validation-api/1.1.0.Final
jaxen/jaxen,jaxen/jaxen/1.1.6
joda-time/joda-time,joda-time/joda-time/2.9.9
junit/junit,junit/junit/4.12
mysql/mysql-connector-java,mysql/mysql-connector-java/5.1.46
net.java.dev.jna/jna,net.java.dev.jna/jna/4.2.2
net.java.dev.jna/jna-platform,net.java.dev.jna/jna-platform/4.2.2
net.sf.ehcache/ehcache,net.sf.ehcache/ehcache/2.10.4
net.sourceforge.htmlunit/htmlunit,net.sourceforge.htmlunit/htmlunit/2.21
net.sourceforge.jtds/jtds,net.sourceforge.jtds/jtds/1.3.1
net.sourceforge.nekohtml/nekohtml,net.sourceforge.nekohtml/nekohtml/1.9.22
nz.net.ultraq.thymeleaf/thymeleaf-layout-dialect,nz.net.ultraq.thymeleaf/thymeleaf-layout-dialect/1.4.0
org.apache.activemq/activemq-amqp,org.apache.activemq/activemq-amqp/5.14.5
org.apache.activemq/activemq-blueprint,org.apache.activemq/activemq-blueprint/5.14.5
org.apache.activemq/activemq-broker,org.apache.activemq/activemq-broker/5.14.5
org.apache.activemq/activemq-camel,org.apache.activemq/activemq-camel/5.14.5
org.apache.activemq/activemq-client,org.apache.activemq/activemq-client/5.14.5
org.apache.activemq/activemq-console,org.apache.activemq/activemq-console/5.14.5
org.apache.activemq/activemq-http,org.apache.activemq/activemq-http/5.14.5
org.apache.activemq/activemq-jaas,org.apache.activemq/activemq-jaas/5.14.5
org.apache.activemq/activemq-jdbc-store,org.apache.activemq/activemq-jdbc-store/5.14.5
org.apache.activemq/activemq-jms-pool,org.apache.activemq/activemq-jms-pool/5.14.5
org.apache.activemq/activemq-kahadb-store,org.apache.activemq/activemq-kahadb-store/5.14.5
org.apache.activemq/activemq-karaf,org.apache.activemq/activemq-karaf/5.14.5
org.apache.activemq/activemq-leveldb-store,org.apache.activemq/activemq-leveldb-store/5.14.5
